"Category","Agriculture","Buildings","Power industry","Transport","Waste","Other industrial combustion","Other"
1970,,5.74,43.15,3,87.55,33.13,94.58
1971,,5.56,43.41,3.09,86.66,27.5,93.84
1972,,5.61,45.03,3.27,85.7,27.71,98.89
1973,,5.66,47.88,3.48,84.67,28.14,104.86
1974,,5.68,48.43,3.43,83.52,27.83,105.04
1975,,5.82,50.19,3.45,82.23,28.98,99.89
1976,,5.95,53.83,3.61,80.52,29.45,106.17
1977,,6.04,55.75,3.69,78.71,31.4,108.39
1978,,6.24,56.65,3.83,76.79,32.78,99.79
1979,,6.44,59.05,3.88,74.81,33.69,99.34
1980,,6.16,61.53,3.81,72.76,29.06,96.45
1981,,6.18,62.05,3.75,70.65,28.65,94.64
1982,,6.22,63.21,3.66,68.48,28.57,89.1
1983,,6.29,64.96,3.64,66.27,28.69,89.36
1984,,6.5,66.69,3.72,64,30.77,91.03
1985,,6.68,69.31,3.81,61.68,29.73,88.83
1986,,6.72,70.08,3.97,59.32,29.67,88.41
1987,,6.85,73.01,4.07,56.91,31.31,90.56
1988,,6.99,75.1,4.25,54.45,32.54,92.78
1989,,6.77,76.82,4.34,51.95,32.18,92
1990,,6.49,78.1,4.57,49.5,31.02,87.12
1991,,6.34,78.27,4.62,46.57,30.26,84.6
1992,,5.55,79.31,4.78,44.76,29.08,82.49
1993,,5.59,78.91,4.81,41.56,28.67,81.99
1994,,5.25,79.29,4.9,38.9,28.07,83.19
1995,,5.21,80.33,5.05,43.37,29.63,85.14
1996,,4.82,83.02,5.28,42.89,28.45,83.34
1997,,4.98,82.31,5.34,39.15,27.69,85.91
1998,,4.55,81.73,5.45,34.94,28.43,83.97
1999,,4.6,81.15,5.64,32.95,25.32,86.19
2000,,4.46,85.13,5.77,35.95,25.41,90.42
2001,,4.49,81.99,5.76,35.87,27.93,91.58
2002,,4.55,78.5,5.92,34.63,28.24,94.79
2003,,4.73,81.11,6.04,33.59,30.05,98.48
2004,,4.91,81.24,6.31,31.77,34.46,103.36
2005,,4.98,80.9,6.41,31.26,42.43,108.61
2006,,5,79.59,6.6,33.9,45.24,114.1
2007,,4.99,78.29,6.8,35.32,46.99,121.8
2008,,5.26,76.38,6.76,36.17,48.65,121.47
2009,,5.22,72.04,6.66,36.38,48.94,120.57
2010,,5.24,72.32,6.96,37.74,54.78,132.9
2011,,5.13,73.68,7.04,36.93,55.93,137.13
2012,,5.24,74.21,7.01,39.34,54.7,136.35
2013,,5.31,73.99,7.16,40.64,52.9,140.32
2014,,5.23,73.88,7.32,40.34,49.81,140.92
2015,,5.27,70.4,7.57,41.25,48.87,137.96
2016,,5.28,69.24,7.7,41.86,44.62,141.16
2017,,5.31,70.79,7.89,42.17,42.98,145.72
2018,,5.03,73.37,8.02,43.98,40.93,148.77
2019,,4.78,71.12,7.99,43.05,39.3,152.8
2020,,4.68,65.57,7.18,43.72,38.13,155.1
2021,,4.88,69.98,7.65,44.45,39.55,159.99
2022,,4.87,71.14,8,45.21,39.92,157.08
