"Category","Agriculture","Buildings","Power industry","Transport","Waste","Other industrial combustion","Other"
1970,2923089.88,4352909.03,11876430.25,37594980.83,60065.19,13856908.39,217315.78
1971,2967127.74,4338121.06,12212474.15,38452244.94,61398.77,12940422.63,218280.94
1972,2953022.77,4458629.05,13223866.61,40434493.76,62769.27,13359395.59,228619.25
1973,3042368.73,4523792.16,14411427.95,42672793.98,64156.37,14066517.16,238395.78
1974,3065497.43,4488575.32,14467067.82,42119920.77,65534.76,14036857.11,243557.71
1975,3183590.5,4597335.34,14491534.92,42560445.35,66882.43,13670643.17,229239.62
1976,3307035.27,4739505.09,15732466.59,44174816.7,67904.86,14031932.75,253722.12
1977,3398099.14,4773416,16251664.63,45339300.7,68886.37,14955974.43,260534.37
1978,3554123.84,4905612.65,16867390.97,46776288.08,69835.67,15026473.13,272088.74
1979,3621557.64,5001126.76,17351895.91,47395340.57,70767.51,15660340.68,281525.41
1980,3717099.71,4862052.91,17649400.1,46610982.45,71693.07,15817277.75,285613.46
1981,3767032.72,4839447.32,17438030.89,46014286.43,72606.67,15263553.98,284452.38
1982,3817649.66,4864289.76,17278436.23,45051108.43,73514.77,14861537.43,276876.43
1983,3953675.32,4897428.56,17537068.17,45054757.4,74415.26,14492148.18,290403.15
1984,4091084.73,5030396.43,17834570.25,45902827.9,75305.93,14884554.04,308509.11
1985,4097298.03,5130664.52,18018209.66,46793684.95,76183.61,14557926.47,309040.62
1986,4169159.1,5164366.07,18436336.76,48513245.89,77050.61,14538848.05,317145.99
1987,4228902.8,5261445.03,19111076.07,49835588.2,77906.92,15000406.55,328325.81
1988,4346558.16,5378034.59,19685219.73,51745699.7,78756.1,15365337.69,340480.97
1989,4428932.51,5339228.08,20285679.86,52841993.73,79601.85,15124117.38,344570.04
1990,4452582.63,5182313.04,21106343.65,53952161.54,80611.26,15048736.34,340476.99
1991,4407930.3,5215647.86,21092142.96,54082829.54,80677.26,15031174.62,341611.01
1992,4443317.75,4980855.71,21131745.82,55078119.08,84130.64,14864484.75,333995.23
1993,4422229.59,5063904.43,20955140.89,54637424.89,84077.06,14651463.49,330480.4
1994,4491228.25,4943674.17,20684928.73,55001069.53,86932.8,14913269.43,342843.87
1995,4593568.97,4984137.43,20759177.34,55497881.28,89518.04,15494268.64,351806.48
1996,4752249.7,4969106.61,21135795.4,56826523.68,97441.3,15368132.97,350513.65
1997,4735954.54,5015917.98,21649217.13,55901053.53,96438.92,15510827.6,358591.33
1998,4757028.87,4808652.48,21999960.45,55556405.84,92112.54,15696200.19,358110.79
1999,4825732.27,4922164.77,21622666.87,55741067.51,91538.46,15090123.17,364243.51
2000,4782667,4852225.08,21909018.57,55854066.75,96122.36,15211293.02,372527.49
2001,4843236.5,4857820.6,21595235.78,54105065.15,96948.25,15672596.32,362787.46
2002,4914543.41,4894032.45,21000107.88,53927457.76,89230.11,15893155.34,372021.27
2003,5005207.81,5035864.01,21988222.49,53434253.66,91576.02,16882175.44,378940.48
2004,5165080.91,5129738.79,22641791.86,54750934.49,87403.8,18615680.93,395216.79
2005,5233643.18,5170888.88,22883555,54205276.71,82787.11,20037004.52,401729.37
2006,5375907.06,5164108.02,23321957.98,54136238.11,89217.94,21204482.56,410500
2007,5510255.81,5200081.78,23906522.9,54993562.58,90567.51,22267924.09,427958.57
2008,5600912.52,5304811.09,23576502.85,53318086.71,91162.5,22750896.62,423090.27
2009,5709381.33,5241180.41,22948849.19,51235984.82,93596.72,22886913.88,401022.67
2010,5785127.99,5323404.57,23600218.83,52387710.92,95963.45,24937221.33,425723.92
2011,5985424.03,5247867.13,23900877.67,52734222.29,101634.07,25544645.02,440874.5
2012,6008051.89,5213244.99,23670343.25,51641887.99,100505.68,25630772.25,438544.91
2013,6185774.64,5353080.94,22986081.3,51131897.82,111871.73,25601670.41,446700.65
2014,6173907.95,5320432.01,22327388.81,51563766.84,103416.13,25199141.12,452341.62
2015,6228370.58,5313346.8,20833794.79,51677735.65,109949.75,24875154.62,459091.31
2016,6293342.15,5336415.16,20299069.21,51413693.34,105452.58,23870427.57,466853.49
2017,6349923.86,5425053.94,20277495.42,52295284.48,104337.11,23492809.11,469441.48
2018,6345250.4,5467796.36,20552949.81,53341748.66,109188.03,23427305.29,482972.68
2019,6428572.28,5376207.68,20139202.63,52887733.76,109342.96,23145106.99,482800.26
2020,6538260.21,5289010.76,18682249.31,46563571.71,109881.31,23103068.45,489063.11
2021,6609077.29,5480911.35,19973717.97,49714377.7,109850.13,23965198.16,494509.64
2022,6669143.35,5471071.98,20311729.69,52303313.86,109994.97,24233759.32,497135.18
