"Category","Agriculture","Buildings","Power industry","Transport","Waste","Other industrial combustion","Other"
1970,2807909.89,17792611.38,2096987.28,2026915.1,399986.71,7680553.54,1463569.17
1971,2879206.83,17611864.86,2019305.33,2057409.3,398913.05,7107885.36,1469608.3
1972,2842122.26,17823370.27,2105281.48,2138737.92,397654.13,7157622.46,1543997
1973,2991717.87,18054584.25,2165527.34,2255518.63,396065.16,7279404.64,1633192.25
1974,3048354.43,18356148.56,2154415.04,2232853.07,393984.92,7334116.39,1628297.64
1975,3097813.85,18838846.13,2212511.98,2200384.89,391294.29,7487684.99,1549207.57
1976,3182737.62,19156526.1,2270751.18,2281849.78,386392.69,7495346.33,1602855.3
1977,3235425.48,19500770.79,2331448.89,2321926.57,380988.77,7826003.09,1641385.16
1978,3398628.54,19898258.1,2424940.43,2385396.86,375153.32,8039018.06,1699534.79
1979,3388383.38,20378721.4,2458136.97,2459589.2,368982.94,8203476.39,1732482.95
1980,3502101.73,20451526.32,2452480.16,2414905,362546.46,8311387.6,1692135.71
1981,3598321.94,20739643.1,2416802.06,2363846.68,355969.41,8300246.28,1683738.55
1982,3626401.1,21070137.08,2443851.8,2286607.79,349167.99,8348176.77,1642097.77
1983,3753672.91,21295890.11,2512608.9,2265448.99,342142.38,8442445.99,1659619.8
1984,3845264.04,21682475.35,2594793.25,2373920.16,334895.6,8953569.7,1744791.99
1985,3905225.31,22135733.72,2650818.33,2469999.67,327427.64,8926894.02,1773865.86
1986,3989854.96,22368627.33,2594655.69,2540742.59,319779.58,9016836.01,1818565.49
1987,4012576.38,22810528.85,2704968.82,2583392.39,311948.06,9300092.03,1891563.11
1988,4148566.01,23124966.57,2841539.16,2719821.48,303951.23,9540028.81,1975511.27
1989,4263234.65,23337605.17,2915381.59,2781382.01,295798.35,9518719.57,2024697.54
1990,4319177.39,22930026.83,3259589.87,2825395.61,287938.01,9495155.68,2037965.73
1991,4312916.66,23122477.94,3249903.93,2865111.09,276349.85,9512744.55,2196980.57
1992,4390782.68,22695521.1,3264216.28,2975914.34,274475.28,9564877.32,2103721.85
1993,4445712.41,22747343.1,3227082.16,3006163.93,262753.74,9598273.81,2143335.92
1994,4526016.08,22437559.39,3155237.33,3037588.61,257547.77,9910936.83,2238930.58
1995,4569552.74,22644692.27,3128157.74,3130459.76,255114.04,10244071.74,2283910.71
1996,4757623.43,22353925.09,3140169.11,3316727.53,262191.53,10154272.64,2286121.37
1997,4846028.63,22584450.63,2982622.97,3256716.89,243639.41,10088222.75,2353440.09
1998,4762313.5,22315302.62,2862750.64,3248444.5,225636.81,10315578.79,2494136.59
1999,4862313.47,22487819.31,2721723.12,3387986.22,212707.8,9926073.89,2550331.74
2000,4887447.2,22329624.17,2611900.88,3537795.57,212842.62,9880311.06,2612572.24
2001,4997703.09,22099517.72,2328686.08,3451051.67,207196.52,10147303.9,2654941.68
2002,5061353.23,22295601.45,2172178.39,3494925.79,190157.44,10279600.35,2736210.18
2003,5154426.07,22622635.6,2085480.82,3582846.9,182165.3,11059367.99,2885791.19
2004,5315289.38,22781996.4,1913249.27,3752172.03,170354.68,12176901.11,3070775.51
2005,5456559.99,22930310.9,1768602.99,3772929.51,158204.5,13435191.82,3199702.8
2006,5573781.54,23009926.87,1686317.32,3892668.21,183946.83,14142812.33,3468235.12
2007,5759843.3,22810822.43,1634147.43,4005726.61,206952.5,14981078.76,3699905.08
2008,6066379.7,22935113.63,1570103.58,3919344.97,225903.39,15474329.55,3820945.44
2009,6056357.48,22800896.19,1485798.99,3797566.5,244733.14,16053857.76,3908555.06
2010,6233548.21,22827439.79,1498908.98,3939238.28,267398.14,17107307.42,4223852.96
2011,6388903.81,22564528.07,1509594.43,4016349.99,290253.13,17755763.98,4529722.24
2012,6448401.81,22520509.1,1557850.27,3955950.19,308327.11,18300008.81,4698171.61
2013,6635575.99,22543332.26,1587025.52,3963388.19,323911.76,18331146.71,4949436.78
2014,6682915.22,22567905.72,1624416.28,4014920.58,321509.33,17612380.84,5062546.62
2015,6767672.88,22253417.39,1620846.32,4032527.5,331455.22,17546727.82,5089183.83
2016,6857154.55,22042561.68,1734053.31,4000523.96,342719.74,16584788.53,5294158.53
2017,7167500.89,22127569.63,1822540.66,4116169.48,344234.84,16368566.79,5371661.22
2018,7163883.65,21900376.74,1956918.98,4169608.82,357608.25,15835969.41,5423105.85
2019,7149356.12,21783955.35,2111843.79,4144312.97,364930.97,15686640.36,5538658.33
2020,7248514.07,21771090.8,2080879.13,3723105.25,371836.33,15469874.89,5559488.66
2021,7369825.21,21910993.07,2147812.85,3987806.95,378970.6,15842879.81,5699516.73
2022,7419678.85,21911733.23,2154651.89,4203334.94,386326.36,15978441.93,5557946.05
