"Category","Agriculture","Buildings","Power industry","Transport","Waste","Other industrial combustion","Other"
1970,130113.21,15803745.49,38499933.46,9219860.06,69118.26,29299212.2,3551601.69
1971,131058.11,15447547.16,39453247.5,9293443.23,69731.56,25587383.31,3544377.27
1972,127084.95,15653747.23,42823030.67,9564876.79,70345.7,26052527.56,3615453.08
1973,135929.36,15983759.37,46860005.66,10024883.76,70939.96,27101639.52,3752646.95
1974,138450.05,15558116.48,47127681.67,9771066.54,71490.01,26713775.59,3833724.33
1975,140538.38,15901060.41,48244598.02,9497193.68,71976.25,26426185.34,3611741.51
1976,146814.79,16439034.55,51972949,9713009.4,72159.37,27258233.5,3753309.96
1977,147883.8,16750807.74,53798834.75,9742213.14,72285.61,29004694.81,3858297.28
1978,157176.61,17128425.25,55235170.32,9814955.97,72360.9,29495542.31,3945708.7
1979,154872.67,17234271.91,55726277.6,10040932.23,72394.17,30315147.7,3984625.8
1980,158710.94,16330899.79,56203969.11,9795742.61,72391.71,29463634.14,4084746.75
1981,164016.71,15866182.55,55450385.87,9338121.53,72274.16,28073230.92,4041744.24
1982,167620.35,15291487.91,53852970.99,8779742.83,72120.79,27539893.81,3849390.62
1983,174839,15133484.36,53970351.6,8488704.63,71931.88,26661725.39,3947619.02
1984,179597.69,15332622.45,53510164.63,8691228.87,71708.61,27246650.91,4037895.31
1985,181461.7,15523224.67,52674091.39,9032350.9,71451.92,26574749.99,3979306.92
1986,183641.7,15318197.28,53380969.11,9235104.61,71152.99,26736122.22,3956275.63
1987,183148.19,15303404.6,53701303.9,9264525.33,70825.22,27372913.31,4044433.32
1988,190058.16,15350846.05,54109331.61,9566023.92,70474.77,27975242.95,4122964.93
1989,195563,14485523.58,53811089.98,9628317.55,70108.13,27788964.46,4141987.67
1990,197461.64,13588949.07,55967826.7,9804977.89,69821.11,26275076.01,4281201.94
1991,193978.37,13067597.89,55109841.02,9914702.19,67294.6,26022367.14,3998151.86
1992,198548.22,11416058.77,54692837.86,10371422.03,69307.76,25531125.19,3615069.68
1993,199002.1,11103475.35,53915934.07,10202307.02,66138.65,25018743.25,3467061.66
1994,201900.87,9995414.48,50927011.78,10307412.21,64597.66,24938289.12,3498256.1
1995,203581.15,9931361.8,49947409.43,9087900.89,61580.95,25667894.9,3496549.71
1996,211902.32,8785353.23,50393567.94,9651080.36,74574.17,24761118.76,3431060.47
1997,218172.2,9007823.7,51440028.96,9542607.67,76270.79,24624912.82,3450310.1
1998,217981.47,7640442.64,51711585.52,9644074.66,68854.97,24808763.46,3854218.69
1999,221283.34,7533892,49742135.08,10295593.34,66595.97,22739287.47,3763890.72
2000,220465.32,7039343.36,50665745.75,10209681.33,71754.21,22273444.33,3798063.63
2001,226402.91,6935937.2,48144747.29,9805521.7,75382.95,22877382.38,3818521.89
2002,227704.3,6637049.85,45818405.49,10037127.52,66860.1,22720690.46,3909096.71
2003,234794.98,6591062.82,46152785.02,10306397.58,75489.78,24109550.8,3970934.65
2004,243536.63,6627009.64,45857280.84,11030256.7,67244.27,27149283.04,4136895.16
2005,251403.8,6473037.62,45235237.01,10938068.22,61507.11,30115948.75,4329977.6
2006,257192.76,6429163.5,42567388.13,11608263.18,70674.94,31482435.34,4540124.51
2007,268744.18,6333682.15,40729475.93,12212755.85,73116.41,32888505.7,4711273.9
2008,284486.98,6588998.81,38308820.98,11942043.87,73353.28,33917906.05,4743466.63
2009,282480.33,6473190.53,35905187.19,11527542.56,79305.98,34638673.44,4822922.46
2010,293212.89,6417218.37,35493124.21,12088731.24,82888.04,37843251.47,5188957.47
2011,305959.46,6342120.4,36847215.48,12338512.69,87619.78,38888661.23,5422000.6
2012,303951.96,6452665.59,38079858.51,11797525.28,78065.86,38853944.23,5509148.02
2013,317756.52,6361355.85,37449923.66,11879925.34,98029.42,38265133.42,5717172.18
2014,321702.9,6357050.45,37360276.34,12339564.51,82900.29,37632394.53,5797274.02
2015,325069.98,6437901.69,35287443.31,12762655.28,92456.03,36753421.05,5835596.61
2016,328147.28,6451962.84,34364733.89,12840456.12,92319.54,34598307.88,5941007.01
2017,338117.37,6642282.22,34000068.12,13447296.18,90301.74,33354478.05,5986339.69
2018,336038.63,6338263.18,34488285.62,13554676.9,92337.15,31957423.73,6022977.31
2019,337031.37,5965190.68,33884188.84,13413940.98,92803.81,31340821.54,6025926.79
2020,341373.86,5852202.04,31135037.48,12095825.97,92893.92,30687392.77,6141561.34
2021,345276.45,6134720.84,33116213.62,12951557.42,92909.56,32053080.49,6451778.25
2022,346261.85,6284287.99,33590085.88,13782530.61,93052.4,32700044.27,6384940.01
