"Category","Agriculture","Buildings","Power industry","Transport","Waste","Other industrial combustion","Other"
1970,1256316.95,6367562.22,91133.3,316596.42,34818.54,801420.29,14502
1971,1271178.26,6243010.68,88309.52,323479.43,34662.32,701141.27,14538
1972,1231410.97,6273190.06,91760.08,339073.77,34487.7,714694.12,14574
1973,1311089.98,6298645.19,94509.7,358855.33,34281.22,722487.45,14610
1974,1334930.25,6350698.59,94015.18,359427.89,34027.87,714317.84,14646
1975,1361343.17,6488806.1,97439.34,362120.21,33716.64,739341.49,14682
1976,1410302.53,6545438.48,99131.46,378455.06,33186.32,751179.86,14718
1977,1425106.57,6629027.36,103222.88,392961.67,32608.56,807988.12,14754
1978,1504610.66,6720201.57,109901.31,408942.43,31990.19,838666.53,14790
1979,1475521.85,6828129.39,111507.55,424928.99,31340.42,851582.1,14826
1980,1522513.05,6772333.69,111449.44,420737.27,30665.7,813773.79,14862
1981,1572918.56,6818025.04,109431.58,420466.07,29976.17,817592.27,14898
1982,1588113.83,6880225.38,110692.69,415312.16,29264.8,828703.66,14934
1983,1656852.55,6896534.49,113711.74,422578.96,28531.45,851349.5,15060
1984,1700009.42,6976219.8,118048.01,441893.27,27776.05,927039.43,15060
1985,1720054.58,7079510.59,120046.66,457487.87,26998.47,886412.43,15060
1986,1742576.46,7107638.88,119611.67,473550.85,26202.34,903372.57,15060
1987,1729249.73,7201264.24,125754.45,485159.42,25387.33,943677.39,15060
1988,1799236.22,7259185.75,133372.45,517704.08,24555.24,968662.88,15060
1989,1851251.13,7228343.94,138515.5,535388.99,23707.26,896295.64,15060
1990,1864441.69,7026077.89,150193.36,543327.74,22881.36,889609.59,15060
1991,1843803.73,6989225.96,150416.15,552751.44,21797.05,906227.37,24497.41
1992,1880266.99,6774333.63,151401.55,565384,21447.54,908216.39,15060
1993,1895154.85,6774595.53,149556.18,579054.03,20405.39,913052.2,15060
1994,1920571.61,6566012.57,147096.19,587309.96,19928.37,950816.17,15060
1995,1932432.74,6563914.77,146946.02,600997.87,19650.73,1008911.31,15060
1996,2017231.84,6297439.85,148451.26,624449.31,19643.63,977110.81,15060
1997,2057353.08,6352885.31,139596.99,612953.63,17771.42,972305.06,15060
1998,2050525.47,6135573.25,133315.11,606468.07,16277.41,1021031.41,15060
1999,2090517.71,6106668.32,125117.51,620323.8,15017.26,956629.18,15060
2000,2076559.37,6001907.76,119769.54,636125.11,14554.78,948102.94,15060
2001,2126214.94,5882453.92,110563.34,618673.2,13681.1,989735.23,15060
2002,2119858.86,5879360.91,105947.71,616953.88,12273.15,1002410.73,15060
2003,2183800.19,5930408.14,103858.58,625798.02,11215.43,1104662.29,15060
2004,2267413.13,5942691.42,98419.95,644602.5,10279.46,1297031.56,15060
2005,2337483.13,5928084.21,91844.89,631351.07,9310.39,1544226.77,15060
2006,2391866.75,5964172.51,91937.98,634336.4,10864.04,1643624.66,15060
2007,2487390.46,5919541.62,92443.16,640753.4,12372.4,1736241.14,15060
2008,2643953.56,5966942.63,91578.63,629564.08,13672.33,1817014.83,15060
2009,2621877.84,5944112.59,91237.9,605056.06,14809.31,1902865.92,15060
2010,2708546.12,5972555.51,96691.52,618648.09,16267.53,2077237.9,15060
2011,2822086.27,5902596.34,101081.38,626767.25,17706.74,2197855.78,15060
2012,2835076.59,5933579.18,105761.03,618691.41,19149.38,2203454.89,15060
2013,2942492.2,5946674.69,110059.47,612266.04,19761.2,2184682.55,15060
2014,2967807.89,5936485.8,113745.46,612993.49,19788.61,2167614.49,15060
2015,2996418.55,5875540.79,113821.48,602534.39,20243.75,2142350.43,15060
2016,3016593.11,5815552.58,124057.21,581235.46,21168.71,2026613.38,15060
2017,3130332.74,5829542,131883.19,586036.4,21163.15,1957499.29,15060
2018,3114328.47,5715779.71,142442.94,589285.24,22169.75,1895696.45,15060
2019,3107222.2,5626239.13,150037.22,586663.02,22647.25,1840803.11,15060
2020,3160911.83,5621855.58,151762.94,529055.79,23122.62,1821462.9,15060
2021,3202742.33,5667519.5,156954.91,565891.96,23604.59,1892370.3,15060
2022,3206194.05,5668980.72,158217,594632.5,24098.29,1918988.61,15060
